submission_id,age,answer,category,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,explanation,gender,itemName,languages,responseTime,settingName,trialNr,trial_type
139,20,he probably was comfortable with relasing the ziplock,other,nil,main,Graduated College,611598,1735602243787,1735601632189,"I'm sorry, I don't have a box. I have a ziplock bag.",female,box-bbq,english,129888,box,1,main
139,20,because he wants to help and has a to go mug and not a bottle,literal,nil,main,Graduated College,611598,1735602243787,1735601632189,"I'm sorry, I don't have a bottle. I have a to-go mug.",female,bottle-water,english,56870,bottle,2,main
139,20,"because he has a shovel not a broom
",literal,nil,main,Graduated College,611598,1735602243787,1735601632189,"I'm sorry, I don't have a broom. I have a shovel.",female,broom-snow,english,185416,broom,3,main
139,20,sculpture,,nil,sculpture,Graduated College,611598,1735602243787,1735601632189,NA,female,art-drawing,english,17791,art,4,main
139,20,because he has a syrup,literal,nil,main,Graduated College,611598,1735602243787,1735601632189,"I'm sorry, I don't have sugar. I have agave syrup.",female,sugar-baking,english,65930,sugar,5,main
132,29,"He may genuinely not have a pot, but other cookware used for camping",literal,,main,Higher degree,213546,1735601786650,1735601573104,"I'm sorry, I don't have a pot. I have camping cookware.",male,pot-jam,english,76961,pot,1,main
132,29,He does not have a handkerchief. He has wet wipes. His answer was the truth.,literal,,main,Higher degree,213546,1735601786650,1735601573104,"I'm sorry, I don't have a handkerchief. I have some wet wipes.",male,handkerchief-sauce,english,40614,handkerchief,2,main
132,29,A ziplock bag could be used instead of a box.,inference,,main,Higher degree,213546,1735601786650,1735601573104,"I'm sorry, I don't have a box. I have a ziplock bag.",male,box-bbq,english,29156,box,3,main
132,29,A shovel could more effectively be used to get rid of snow,inference,,main,Higher degree,213546,1735601786650,1735601573104,"I'm sorry, I don't have a broom. I have a shovel.",male,broom-snow,english,48725,broom,4,main
132,29,teacher,,,teacher,Higher degree,213546,1735601786650,1735601573104,NA,male,jobCenter-engineer,english,6595,jobCenter,5,main
133,29,"Sweatpants can be used as pyjamas, but there is a slight difference. It's good to tell your friend which clothing article you actually have when they ask.",inference,None,main,Graduated High-school,248301,1735601831593,1735601583292,"I'm sorry, I don't have sweatpants. I have pyjamas.",female,sweatpants-sleepover,English,72451,sweatpants,1,main
133,29,sculpture,,None,sculpture,Graduated High-school,248301,1735601831593,1735601583292,NA,female,art-painting,English,13924,art,2,main
