,itemName,settingName,question,competitor_response,vignette_start,vignette_continuation,correct_response,character_template,itemQuestion,competitor,sameCategory,otherCategory,mostSimilar
0,chair-repair,chair,Do you have a chair?,"I'm sorry, I don't have a chair. I have  a ladder.",You have a new neighbor who will be moving into the apartment on the ground floor of your house. You see your new neighbor cleaning his windows before moving in. When walking out of the building you see him trying to reach the top of the window that he is cleaning. In the shared utility closet of the apartment building there are  ,"\n\nWhen your neighbor sees your other neighbor in front of the house, they greet them and ask:",main,Your other neighbor replies:,a chair,a ladder,a stool,a broom,a leather recliner
1,chair-party,chair,Do you have a chair?,"I'm sorry, I don't have a chair. I have a stool.","Your neighbor is hosting a dinner party with a lot of guests at their apartment on the ground floor. The house does not have an elevator. All neighbors are also invited. As more guests arrive, your neighbor runs out of seating options. In the shared utility closet of the apartment building there are ","\n\nWhen your neighbor sees your other neighbor in front of the house, they greet them and ask:",main,Your other neighbor replies:,a chair,a stool,a ladder,a broom,a leather recliner
2,blanket-sleepover,blanket,Do you have a blanket?,"I'm sorry, I don't have a blanket. I have a sleeping bag.",Your roommate is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. The following items are in the attic of the house: ,\n\nYour roommate asks:,main,Your other roommate replies:,a blanket,a sleeping bag,some bubble wrap,a carpet,a pillow
3,blanket-transportation,blanket,Do you have a blanket?,"I'm sorry, I don't have a blanket. I have some bubble wrap.",Your roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. The following items are in the attic of the house: ,\n\nYour roommate asks:,main,Your other roommate replies:,a blanket,some bubble wrap,a sleeping bag,a carpet,a pillow
4,box-muffins,box,Do you have a box?,"I'm sorry, I don't have a box. I have a cake container.","You and some friends got together to bake muffins and cookies. Your friends want to take home some of the pastries, but forgot to bring containers. In the pantry, there are ",\n\nAs your friends want to head out they ask:,main,Your roommate replies:,a box,a cake container,a ziplock bag,a tote bag,a carton
5,box-bbq,box,Do you have a box?,"I'm sorry, I don't have a box. I have a ziplock bag.","You and some friends had a BBQ and there are quite a lot of leftovers. Your friends want to take home some of the food, but forgot to bring containers. In the pantry, there are ",\n\nAs your friends want to head out they ask:,main,Your roommate replies:,a box,a ziplock bag,a cake container,a tote bag,a carton
6,sugar-coffee,sugar,Do you have sugar?,"I'm sorry, I don't have sugar. I have sweetener tablets.",Your roommate is having lunch with some friends at your house. They just finished eating and your roommate is making coffee now. In the pantry there are ,\n\nOne of the friends asks:,main,Your roommate replies:,sugar,sweetener tablets,agave syrup,salt,honey
7,sugar-baking,sugar,Do you have sugar?,"I'm sorry, I don't have sugar. I have agave syrup.","It’s Christmas time. Your roommate just finished baking a big batch of cookies, so they ran out of most of the ingredients. Your neighbor is also baking and seems to have run out of some ingredients during the process. Your roommate has left ",\n\nYour neighbor rings at your door and asks:,main,Your roommate replies:,sugar,agave syrup,sweetener tablets,salt,honey
8,handkerchief-injury,handkerchief,Do you have a handkerchief?,"I'm sorry, I don't have a handkerchief. I have some band aids.","You and your friend are taking a walk in the park. As you walk by a playground, you see an elderly person comforting a child who just fell down and hurt their knee. In their backpack, your friend has  ",\n\nThe elderly person walks towards you and asks:,main,Your friend replies:,a handkerchief,some band aids,some wet wipes,a cell phone,paper napkins
9,handkerchief-sauce,handkerchief,Do you have a handkerchief?,"I'm sorry, I don't have a handkerchief. I have some wet wipes.","You and your friend are traveling by train. Your elderly seat neighbor just started eating a sandwich and spilled some sauce on their sweater. In their backpack, your friend has  ",\n\nYour seat neighbor turns to you and asks:,main,Your friend replies:,a handkerchief,some wet wipes,some band aids,a cell phone,paper napkins
10,broom-renovation,broom,Do you have a broom?,"I'm sorry, I don't have a broom. I have a vacuum cleaner.","Your neighbors recently finished renovating their apartment. They are now cleaning up after renovation. You heard that they don’t have any household supplies yet since they plan to move in next week. In your apartment, you have ",\n\nOne of your neighbors rings your bell and asks:,main,Your roommate answers the door and replies:,a broom,a vacuum cleaner,a shovel,a lamp,a hand brush
11,broom-snow,broom,Do you have a broom?,"I'm sorry, I don't have a broom. I have a shovel.","You live in a suburban house and share the driveway to your house with your neighbors. You take turns taking care of the road. You just woke up, looked out of the window and noticed that it snowed over the night, which is not very common in your area. This week it’s your neighbors’ turn to take care of the driveway. In your house, you happen to have ",\n\nYour neighbor rings at your door and asks:,main,Your roommate answers the door and replies:,a broom,a shovel,a vacuum cleaner,a lamp,a hand brush
12,sweatpants-sleepover,sweatpants,Do you have sweatpants?,"I'm sorry, I don't have sweatpants. I have pyjamas.","You and your roommate have some friends over at your place. They evening got long and it is already way past midnight. Therefore, one person who lives far away decided to stay over. In you closet you have ","\n\nOnce other guests left, he wants to change for the night and asks:",main,Your roommate replies:,sweatpants,pyjamas,shorts,towels,a pair of leggings
13,sweatpants-spill,sweatpants,Do you have sweatpants?,"I'm sorry, I don't have sweatpants. I have shorts.","It is a hot summer weekend. You and your roommate have some friends over at your garden for a dinner party. One guest just spilled coffee on his pants. In your closet, you have ",\n\nThe guest asks:,main,Your roommate replies:,sweatpants,shorts,pyjamas,towels,a pair of leggings
14,umbrella-summer,umbrella,Do you have an umbrella?,"I'm sorry, I don't have an umbrella. I have sunscreen.","Your house has a beautiful garden and a pool. During the summer you often have friends over in the garden. Today is a really hot day, and a friend wants to lie outside in the garden but doesn’t want to get sunburned. In your storage closet in the house, you have ",\n\nThe friend asks:,main,Your roommate replies:,an umbrella,sunscreen,a rain jacket,a tent,a plastic bike cover
15,umbrella-rain,umbrella,Do you have an umbrella?,"I'm sorry, I don't have an umbrella. I have a rain jacket.","You and your roommate just had coffee with some friends at your house. Now they want to take off but a heavy rain just started. In your storage closet in the house, you have ",\n\nYour friend asks:,main,Your roommate replies:,an umbrella,a rain jacket,sunscreen,a tent,a plastic bike cover
