submission_id,age,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,explanation,gender,itemName,languages,question,responseTime,settingName,trialNr,trial_type,answer_num,sampled_goals,category
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,kidsActivities-crafts,English,Is there a pottery class?,163368,kidsActivities,1,main,answer1,Skull Development,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,kidsActivities-crafts,English,Is there a pottery class?,163368,kidsActivities,1,main,answer2,Social interaction,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,kidsActivities-crafts,English,Is there a pottery class?,163368,kidsActivities,1,main,answer3,Physical activity and wellness,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,waterSport-motor,English,Do you rent jet skis?,143784,waterSport,2,main,answer1,Recreation and fun,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,waterSport-motor,English,Do you rent jet skis?,143784,waterSport,2,main,answer2,Exploration,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,waterSport-motor,English,Do you rent jet skis?,143784,waterSport,2,main,answer3,socializing,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,interior-green,English,Do you have an aloe vera plant?,105710,interior,3,main,answer1,Home Decor,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,interior-green,English,Do you have an aloe vera plant?,105710,interior,3,main,answer2,Health Benefits,superordinate-feature
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,interior-green,English,Do you have an aloe vera plant?,105710,interior,3,main,answer3,Plant care,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,cafe-pie,English,Do you have raspberry cake?,85841,cafe,5,main,answer1,Craving a specific flavor,target-feature
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,cafe-pie,English,Do you have raspberry cake?,85841,cafe,5,main,answer2,Trying something new,superordinate
146,25,None,main,Graduated College,571961,1735835561938,1735834989977,NA,male,cafe-pie,English,Do you have raspberry cake?,85841,cafe,5,main,answer3,Completing a meal,superordinate
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,bookingAgency-lowClassAccommodation,English,Is there a bed in the youth hostel available for tomorrow night?,67855,bookingAgency,1,main,answer1,he want to stay there tomorrow night,target
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,bookingAgency-lowClassAccommodation,English,Is there a bed in the youth hostel available for tomorrow night?,67855,bookingAgency,1,main,answer2,he is checking for a friend the availibility of a room tomorrow evening,subordinate
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,bookingAgency-lowClassAccommodation,English,Is there a bed in the youth hostel available for tomorrow night?,67855,bookingAgency,1,main,answer3,He wants to stay out tomorrow evening,subordinate
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,zoo-xl,English,Can we see the tiger?,42951,zoo,2,main,answer1,to view the tiger,target
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,zoo-xl,English,Can we see the tiger?,42951,zoo,2,main,answer2,to see if the tiger is there,target
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,zoo-xl,English,Can we see the tiger?,42951,zoo,2,main,answer3,the kid may love tigers,subordinate
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,interior-green,English,Do you have an aloe vera plant?,33426,interior,3,main,answer1,she wants a plant,superordinate
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,interior-green,English,Do you have an aloe vera plant?,33426,interior,3,main,answer2,she wants to decorate her new apartment,superordinate
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,interior-green,English,Do you have an aloe vera plant?,33426,interior,3,main,answer3,she wants something unique for free,subordinate
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,cafe-pie,English,Do you have raspberry cake?,21772,cafe,4,main,answer1,he wants cake,target
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,cafe-pie,English,Do you have raspberry cake?,21772,cafe,4,main,answer2,is hungry,superordinate
143,43,NA,main,Graduated College,207259,1735835153885,1735834946626,NA,male,cafe-pie,English,Do you have raspberry cake?,21772,cafe,4,main,answer3,wants something sweet,superordinate-feature
144,21,NA,main,Graduated College,235356,1735835321900,1735835086544,NA,female,zoo-xl,english,Can we see the tiger?,46786,zoo,2,main,answer1,to convince its mother to take it to see the tiger,subordinate
144,21,NA,main,Graduated College,235356,1735835321900,1735835086544,NA,female,zoo-xl,english,Can we see the tiger?,46786,zoo,2,main,answer2,to get attention,subordinate
144,21,NA,main,Graduated College,235356,1735835321900,1735835086544,NA,female,zoo-xl,english,Can we see the tiger?,46786,zoo,2,main,answer3,to encourage the group to get moving,subordinate
144,21,NA,main,Graduated College,235356,1735835321900,1735835086544,NA,female,books-romance,english,Do you have a book of love poems?,32237,books,3,main,answer1,find a book of love poems,target
