submission_id,age,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,explanation,gender,itemName,languages,prolific_pid,prolific_session_id,prolific_study_id,question,responseTime,settingName,trialNr,trial_type,answer_num,sampled_goals,category
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,touristInfo-clubbing,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Is there a club event with electronic music today?,48008,touristInfo,1,main,answer1,The woman wants to go to an event with live music,superordinate
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,touristInfo-clubbing,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Is there a club event with electronic music today?,48008,touristInfo,1,main,answer2,The woman wants to listen to electronic music,target
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,touristInfo-clubbing,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Is there a club event with electronic music today?,48008,touristInfo,1,main,answer3,The woman wants to be at a social gathering,superordinate
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,zoo-reptiles,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Can we see the chameleon?,95554,zoo,2,main,answer1,The kid wants to see a chameleon,target
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,zoo-reptiles,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Can we see the chameleon?,95554,zoo,2,main,answer2,The kid is interested in lizards and wants to learn more,subordinate
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,zoo-reptiles,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Can we see the chameleon?,95554,zoo,2,main,answer3,The kid wants to see unique animals as soon as possible to accomplish some other goal later,subordinate
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,kidsActivities-sports,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Is there a gymnastics class?,52717,kidsActivities,3,main,answer1,The kid wants to attend a gynmastics class,target
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,kidsActivities-sports,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Is there a gymnastics class?,52717,kidsActivities,3,main,answer2,The kid wants to scope out any physical activities,superordinate
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,kidsActivities-sports,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Is there a gymnastics class?,52717,kidsActivities,3,main,answer3,The kid knows someone from a gymnastics class or club and wants to see them,subordinate
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,clothing-acc,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Do you have any earrings?,52066,clothing,5,main,answer1,The customer wants earrings,target
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,clothing-acc,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Do you have any earrings?,52066,clothing,5,main,answer2,The customer wants to see all the clothing at the store,superordinate
119,32,NA,main,Graduated College,291750,1735344362598,1735344070848,NA,male,clothing-acc,NA,5f4e21b1d8bdcab16ac4481a,676f3fc0d9d16da08ad9af62,676f3e08413e14ddc9732121,Do you have any earrings?,52066,clothing,5,main,answer3,The customer wants to gift someone earrings,subordinate
